match_id,team_id,scored,conceded,xgoals,passes,accuracy,shots,ontarget,offtarget,possession,tackleswon,corners,offsides,fouls,win,homeaway,rolling_avg_goals,prev_xgoals,prev_possession,prev_shots,prev_ontarget,prev_accuracy,cumulative_points,points_rank,goal_difference,win_streak,matchday,home_team_id,away_team_id,home_score,away_score,season_name,team_name,rolling_xg_performance,home_form_wins,home_form_goals,away_form_wins,away_form_goals,rolling_shot_conversion,opponent_id,h2h_points,elo_before,opponent_elo_before,dc_lambda,dc_mu,dc_home_win,dc_draw,dc_away_win
11,72,0,0,0.79,562,0.84,6,2,4,0.58,119,4,3,12,False,Away,,,,,,,,1,,,1,71,72,0,0,2020-2021,Bayer Leverkusen,,,,,,,71,0,1500.0,1500.0,1.314002533588705,1.6909472766874418,0.2830029273585792,0.26923661661117054,0.4477477246428072
16,56,1,3,1.33,474,0.79,17,4,13,0.63,118,8,2,20,False,Home,0.0,0.18,0.39,5.0,1.0,0.77,0.0,8,-8.0,0.0,2,56,59,1,3,2020-2021,Schalke,-0.18,,,,,0.0,59,0,1480.0,1480.0,1.089351772867887,1.839119814117049,0.2079294363730364,0.258108065059413,0.5339390450010266
17,58,1,1,1.86,400,0.82,21,7,14,0.52,120,9,3,10,False,Home,3.0,1.73,0.41,7.0,6.0,0.73,3.0,1,1.0,1.0,2,58,71,1,1,2020-2021,Freiburg,1.27,,,,,0.4285714285714285,71,0,1520.0,1500.0,1.579421539606449,1.2683426986712203,0.429852384857909,0.2797717980619693,0.2903684823946421
16,59,3,1,2.57,218,0.61,17,8,9,0.37,131,3,3,14,True,Away,1.0,1.07,0.42,17.0,7.0,0.78,0.0,8,-3.0,0.0,2,56,59,1,3,2020-2021,Werder Bremen,-0.07,,,,,0.0588235294117647,56,0,1480.0,1480.0,1.089351772867887,1.839119814117049,0.2079294363730364,0.258108065059413,0.5339390450010266
12,60,1,3,1.26,450,0.85,12,6,6,0.57,104,4,1,13,False,Home,4.0,1.84,0.58,13.0,6.0,0.84,3.0,1,3.0,1.0,2,60,65,1,3,2020-2021,Hertha Berlin,2.16,,,,,0.3076923076923077,65,0,1520.0,1500.0,1.208679712857138,1.815165789017666,0.2388308893180922,0.2602881445093121,0.5008595510619249
15,61,0,1,1.57,430,0.8,12,2,10,0.5,114,7,0,15,False,Away,2.0,2.25,0.48,13.0,6.0,0.83,0.0,8,-1.0,0.0,2,66,61,1,0,2020-2021,Cologne,-0.25,,,,,0.1538461538461538,66,0,1480.0,1500.0,0.8908700399743149,0.9836612634660014,0.2958950022349641,0.358330372435396,0.3457744907094662
13,63,1,1,1.02,365,0.75,15,2,13,0.4,93,5,1,15,False,Away,1.0,1.43,0.56,14.0,3.0,0.84,0.0,8,-2.0,0.0,2,68,63,1,1,2020-2021,Union Berlin,-0.4299999999999999,,,,,0.0714285714285714,68,0,1480.0,1480.0,1.6118471842201918,1.2538207784063686,0.4411801444101807,0.27752023840107415,0.2812911581106653
14,64,2,0,0.92,186,0.69,6,4,2,0.29,100,3,3,7,True,Home,3.0,1.1,0.44,9.0,5.0,0.83,3.0,1,2.0,1.0,2,64,67,2,0,2020-2021,Augsburg,1.9,,,,,0.3333333333333333,67,0,1520.0,1520.0,1.1943123014150627,2.0729135276236743,0.20109570412154004,0.2363228582976124,0.5625185596927613
12,65,3,1,1.94,335,0.83,11,3,8,0.43,115,3,1,16,True,Away,1.0,2.25,0.59,18.0,6.0,0.82,1.0,5,0.0,0.0,2,60,65,1,3,2020-2021,Eintracht Frankfurt,-1.25,,,,,0.0555555555555555,60,0,1500.0,1520.0,1.208679712857138,1.815165789017666,0.2388308893180922,0.2602881445093121,0.5008595510619249
15,66,1,0,0.29,400,0.85,7,3,4,0.5,112,4,1,12,True,Home,1.0,1.13,0.41,14.0,5.0,0.72,1.0,5,0.0,0.0,2,66,61,1,0,2020-2021,Arminia Bielefeld,-0.1299999999999999,,,,,0.0714285714285714,61,0,1500.0,1480.0,0.8908700399743149,0.9836612634660014,0.2958950022349641,0.358330372435396,0.3457744907094662
14,67,0,2,1.57,821,0.9,16,7,9,0.71,105,11,0,8,False,Away,3.0,1.76,0.48,9.0,4.0,0.87,3.0,1,3.0,1.0,2,64,67,2,0,2020-2021,Borussia Dortmund,1.24,,,,,0.3333333333333333,64,0,1520.0,1520.0,1.1943123014150627,2.0729135276236743,0.20109570412154004,0.2363228582976124,0.5625185596927613
13,68,1,1,1.84,632,0.85,14,5,9,0.6,106,7,4,11,False,Home,0.0,0.59,0.52,8.0,2.0,0.88,0.0,8,-3.0,0.0,2,68,63,1,1,2020-2021,Borussia Mönchengladbach,-0.59,,,,,0.0,63,0,1480.0,1480.0,1.6118471842201918,1.2538207784063686,0.4411801444101807,0.27752023840107415,0.2812911581106653
17,71,1,1,0.65,368,0.81,8,2,6,0.48,107,1,0,13,False,Away,0.0,0.74,0.42,9.0,1.0,0.75,1.0,5,0.0,0.0,2,58,71,1,1,2020-2021,Wolfsburg,-0.74,,,,,0.0,58,0,1500.0,1520.0,1.579421539606449,1.2683426986712203,0.429852384857909,0.2797717980619693,0.2903684823946421
22,56,0,4,0.36,287,0.78,4,1,3,0.38,98,1,1,10,False,Away,0.5,1.33,0.63,17.0,4.0,0.79,0.0,11,-10.0,0.0,3,69,56,4,0,2020-2021,Schalke,-0.255,,,0.0,0.0,0.0294117647058823,69,0,1460.0,1520.0,3.1064211057567257,0.6204693867535468,0.8488520382013888,0.11131964756534116,0.038406183957802806
19,57,1,1,0.73,438,0.8,11,2,9,0.5,122,7,2,8,False,Home,2.0,2.03,0.59,23.0,7.0,0.84,0.0,11,-1.0,0.0,3,57,72,1,1,2020-2021,VfB Stuttgart,-0.0299999999999998,0.0,2.0,,,0.0869565217391304,72,0,1480.0,1500.0,1.449615077804979,1.8089952341052222,0.2959276483653614,0.2565735805999057,0.4474755090524919
21,58,0,4,0.37,387,0.81,6,2,4,0.37,78,2,0,12,False,Away,2.0,1.86,0.52,21.0,7.0,0.82,4.0,2,1.0,0.0,3,67,58,4,0,2020-2021,Freiburg,0.2049999999999999,,,1.0,3.0,0.238095238095238,67,0,1518.8499774443092,1500.0,2.3525882121671624,1.2368021960422673,0.6106597453847693,0.2118738314400083,0.1772934683911357
