Season,MatchDay,Team,HomeAway,Opponent,Scored,Conceded,XGoals,Passes,Accuracy,Shots,OnTarget,OffTarget,Possession,TacklesWon,Corners,Offsides,Fouls,Win
2020-2021,32,Arminia Bielefeld,Away,Hertha Berlin,0,0,0.48,285,0.73,12,5,7,0.38,105,3,0,9,0
2020-2021,33,Arminia Bielefeld,Home,Hoffenheim,1,1,1.79,336,0.78,17,6,11,0.41,102,10,1,5,0
2020-2021,33,Hoffenheim,Away,Arminia Bielefeld,1,1,1.57,543,0.87,7,3,4,0.59,104,4,0,8,0
2020-2021,33,Augsburg,Home,Werder Bremen,2,0,1.68,197,0.62,15,7,8,0.38,111,5,2,13,1
2020-2021,33,Werder Bremen,Away,Augsburg,0,2,1.39,471,0.84,16,5,11,0.62,112,5,4,17,0
2020-2021,33,Schalke,Home,Eintracht Frankfurt,4,3,3.14,338,0.76,11,6,5,0.41,114,1,3,9,1
2020-2021,33,Eintracht Frankfurt,Away,Schalke,3,4,4.09,573,0.87,24,9,15,0.59,111,13,5,11,0
2020-2021,33,Hertha Berlin,Home,Cologne,0,0,0.05,317,0.78,1,1,0,0.45,78,1,1,11,0
2020-2021,33,Cologne,Away,Hertha Berlin,0,0,1.22,424,0.87,11,3,8,0.55,88,5,0,12,0
2020-2021,33,Freiburg,Home,Bayern Munich,2,2,1.64,369,0.85,13,4,9,0.42,78,4,5,10,0
2020-2021,33,Bayern Munich,Away,Freiburg,2,2,3.59,589,0.88,16,6,10,0.58,81,8,2,13,0
2020-2021,33,Bayer Leverkusen,Home,Union Berlin,1,1,1.39,535,0.82,9,4,5,0.5,83,4,1,9,0
2020-2021,33,Union Berlin,Away,Bayer Leverkusen,1,1,2.14,536,0.83,15,6,9,0.5,96,5,2,16,0
2020-2021,33,Borussia Mönchengladbach,Home,VfB Stuttgart,1,2,0.73,534,0.82,9,4,5,0.52,118,2,2,14,0
2020-2021,33,VfB Stuttgart,Away,Borussia Mönchengladbach,2,1,0.64,552,0.86,11,7,4,0.48,125,1,2,14,1
2020-2021,33,Mainz,Home,Borussia Dortmund,1,3,1.36,336,0.79,9,5,4,0.36,87,4,1,9,0
2020-2021,33,Borussia Dortmund,Away,Mainz,3,1,1.7,671,0.9,13,4,9,0.64,81,2,0,11,1
2020-2021,33,RB Leipzig,Home,Wolfsburg,2,2,2.1,497,0.81,14,4,10,0.59,93,11,0,13,0
2020-2021,33,Wolfsburg,Away,RB Leipzig,2,2,1.3,250,0.74,12,4,8,0.41,100,3,2,15,0
2020-2021,34,VfB Stuttgart,Home,Arminia Bielefeld,0,2,0.9,715,0.89,11,0,11,0.65,88,3,2,12,0
2020-2021,34,Arminia Bielefeld,Away,VfB Stuttgart,2,0,1.71,244,0.68,11,3,8,0.35,100,6,0,11,1
2020-2021,34,Werder Bremen,Home,Borussia Mönchengladbach,2,4,2.31,480,0.85,16,8,8,0.49,97,2,2,19,0
2020-2021,34,Borussia Mönchengladbach,Away,Werder Bremen,4,2,1.64,572,0.88,16,8,8,0.51,124,5,4,12,1
2020-2021,34,Cologne,Home,Schalke,1,0,1.89,479,0.81,21,10,11,0.59,112,8,3,14,1
2020-2021,34,Schalke,Away,Cologne,0,1,0.7,242,0.64,7,1,6,0.41,117,4,0,12,0
2020-2021,34,Union Berlin,Home,RB Leipzig,2,1,1.3,327,0.72,10,4,6,0.4,96,7,3,15,1
2020-2021,34,RB Leipzig,Away,Union Berlin,1,2,2.78,562,0.84,18,7,11,0.6,106,3,5,10,0
2020-2021,34,Eintracht Frankfurt,Home,Freiburg,3,1,1.63,495,0.84,17,10,7,0.54,86,8,1,7,1
2020-2021,34,Freiburg,Away,Eintracht Frankfurt,1,3,0.76,473,0.83,11,6,5,0.46,97,1,1,10,0
2020-2021,34,Wolfsburg,Home,Mainz,2,3,1.17,513,0.84,16,5,11,0.61,94,7,1,12,0
2020-2021,34,Mainz,Away,Wolfsburg,3,2,2.03,304,0.72,14,8,6,0.39,90,7,1,19,1
2020-2021,34,Hoffenheim,Home,Hertha Berlin,2,1,2.34,581,0.88,21,5,16,0.61,96,4,1,8,1
2020-2021,34,Hertha Berlin,Away,Hoffenheim,1,2,1.24,432,0.83,9,5,4,0.39,86,3,2,5,0
2020-2021,34,Borussia Dortmund,Home,Bayer Leverkusen,3,1,1.3,587,0.88,9,3,6,0.54,89,3,1,6,1
2020-2021,34,Bayer Leverkusen,Away,Borussia Dortmund,1,3,1.69,510,0.9,16,7,9,0.46,98,6,1,8,0
2020-2021,34,Bayern Munich,Home,Augsburg,5,2,3.64,625,0.88,25,14,11,0.67,111,10,1,6,1
2020-2021,34,Augsburg,Away,Bayern Munich,2,5,1.54,262,0.72,8,4,4,0.33,87,2,2,9,0
2020-2021,Relegation,Cologne,Home,Holstein Kiel,0,1,1.05,448,0.83,15,3,12,0.53,137,9,2,21,0
2020-2021,Relegation,Holstein Kiel,Away,Cologne,1,0,0.54,338,0.81,9,3,6,0.47,118,5,0,20,1
2020-2021,Relegation,Holstein Kiel,Home,Cologne,1,5,1.29,457,0.82,10,3,7,0.58,111,2,1,8,0
2020-2021,Relegation,Cologne,Away,Holstein Kiel,5,1,2.93,277,0.75,19,11,8,0.42,119,8,2,17,1
2021-2022,1,Borussia Mönchengladbach,Home,Bayern Munich,1,1,1.69,323,0.74,11,5,6,0.42,110,3,3,7,0
2021-2022,1,Bayern Munich,Away,Borussia Mönchengladbach,1,1,2.44,621,0.85,20,10,10,0.58,134,8,4,4,0
2021-2022,1,Arminia Bielefeld,Home,Freiburg,0,0,1.05,314,0.74,10,4,6,0.48,107,4,1,13,0
2021-2022,1,Freiburg,Away,Arminia Bielefeld,0,0,1.79,395,0.82,14,6,8,0.52,113,9,2,10,0
2021-2022,1,Augsburg,Home,Hoffenheim,0,4,0.88,330,0.81,7,0,7,0.46,80,6,2,8,0
2021-2022,1,Hoffenheim,Away,Augsburg,4,0,4.01,391,0.83,15,8,7,0.54,85,5,3,9,1
2021-2022,1,VfB Stuttgart,Home,Greuther Fürth,5,1,3.94,647,0.91,30,15,15,0.62,92,9,3,11,1
2021-2022,1,Greuther Fürth,Away,VfB Stuttgart,1,5,1.1,317,0.81,8,4,4,0.38,71,2,0,8,0
2021-2022,1,Union Berlin,Home,Bayer Leverkusen,1,1,0.48,299,0.74,8,5,3,0.36,90,1,2,13,0
2021-2022,1,Bayer Leverkusen,Away,Union Berlin,1,1,0.96,633,0.88,16,4,12,0.64,106,6,2,5,0
2021-2022,1,Wolfsburg,Home,Bochum,1,0,3.17,544,0.86,21,10,11,0.57,98,5,2,9,1
2021-2022,1,Bochum,Away,Wolfsburg,0,1,0.53,329,0.73,7,1,6,0.43,80,2,2,7,0
2021-2022,1,Borussia Dortmund,Home,Eintracht Frankfurt,5,2,2.91,598,0.84,12,7,5,0.59,124,7,4,5,1
2021-2022,1,Eintracht Frankfurt,Away,Borussia Dortmund,2,5,1.73,373,0.79,12,3,9,0.41,95,3,1,14,0
2021-2022,1,Mainz,Home,RB Leipzig,1,0,1.44,216,0.6,6,2,4,0.35,74,5,2,10,1
2021-2022,1,RB Leipzig,Away,Mainz,0,1,1.21,597,0.85,14,2,12,0.65,99,11,2,8,0
2021-2022,1,Cologne,Home,Hertha Berlin,3,1,1.9,436,0.85,15,5,10,0.6,96,4,2,18,1
2021-2022,1,Hertha Berlin,Away,Cologne,1,3,2.29,301,0.78,11,5,6,0.4,89,5,3,14,0
2021-2022,2,RB Leipzig,Home,VfB Stuttgart,4,0,3.34,452,0.84,26,11,15,0.54,111,6,1,10,1
2021-2022,2,VfB Stuttgart,Away,RB Leipzig,0,4,1.36,407,0.82,11,5,6,0.46,123,2,1,11,0
2021-2022,2,Greuther Fürth,Home,Arminia Bielefeld,1,1,2.91,523,0.85,20,5,15,0.64,103,5,6,12,0
2021-2022,2,Arminia Bielefeld,Away,Greuther Fürth,1,1,1.02,256,0.7,9,2,7,0.36,113,0,1,15,0
2021-2022,2,Bochum,Home,Mainz,2,0,1.0,274,0.74,9,5,4,0.45,100,2,1,15,1
2021-2022,2,Mainz,Away,Bochum,0,2,1.01,391,0.79,16,3,13,0.55,68,7,1,19,0
2021-2022,2,Hertha Berlin,Home,Wolfsburg,1,2,1.24,304,0.84,12,4,8,0.4,89,4,0,12,0
2021-2022,2,Wolfsburg,Away,Hertha Berlin,2,1,1.27,466,0.88,11,3,8,0.6,93,4,1,21,1
2021-2022,2,Freiburg,Home,Borussia Dortmund,2,1,1.24,188,0.75,8,5,3,0.31,86,0,0,14,1
2021-2022,2,Borussia Dortmund,Away,Freiburg,1,2,1.86,683,0.9,19,3,16,0.69,112,10,1,14,0
2021-2022,2,Eintracht Frankfurt,Home,Augsburg,0,0,2.02,487,0.79,20,5,15,0.59,112,6,1,8,0
2021-2022,2,Augsburg,Away,Eintracht Frankfurt,0,0,0.23,279,0.58,4,0,4,0.41,99,1,2,10,0
2021-2022,2,Bayer Leverkusen,Home,Borussia Mönchengladbach,4,0,2.26,418,0.84,13,7,6,0.49,103,7,5,9,1
2021-2022,2,Borussia Mönchengladbach,Away,Bayer Leverkusen,0,4,1.71,475,0.88,11,6,5,0.51,95,3,2,11,0
2021-2022,2,Hoffenheim,Home,Union Berlin,2,2,1.01,598,0.86,7,3,4,0.6,107,6,2,9,0
2021-2022,2,Union Berlin,Away,Hoffenheim,2,2,2.28,297,0.72,11,8,3,0.4,109,5,6,10,0
2021-2022,2,Bayern Munich,Home,Cologne,3,2,2.92,534,0.84,18,6,12,0.56,102,3,0,14,1
2021-2022,2,Cologne,Away,Bayern Munich,2,3,0.75,394,0.77,10,3,7,0.44,89,4,1,10,0
2021-2022,3,Borussia Dortmund,Home,Hoffenheim,3,2,2.91,545,0.86,23,13,10,0.56,107,4,4,9,1
2021-2022,3,Hoffenheim,Away,Borussia Dortmund,2,3,2.44,371,0.77,9,5,4,0.44,104,7,2,12,0
2021-2022,3,Cologne,Home,Bochum,2,1,2.9,478,0.85,21,5,16,0.68,110,5,3,11,1
2021-2022,3,Bochum,Away,Cologne,1,2,0.87,184,0.64,10,1,9,0.32,79,5,1,21,0
2021-2022,3,Arminia Bielefeld,Home,Eintracht Frankfurt,1,1,1.07,277,0.71,14,5,9,0.38,134,4,0,13,0
2021-2022,3,Eintracht Frankfurt,Away,Arminia Bielefeld,1,1,2.04,602,0.86,12,3,9,0.62,121,4,2,17,0
2021-2022,3,Augsburg,Home,Bayer Leverkusen,1,4,1.46,346,0.8,13,4,9,0.44,88,4,1,12,0
2021-2022,3,Bayer Leverkusen,Away,Augsburg,4,1,2.03,514,0.87,13,5,8,0.56,94,4,0,10,1
2021-2022,3,Mainz,Home,Greuther Fürth,3,0,3.38,350,0.75,17,9,8,0.48,128,7,3,21,1
2021-2022,3,Greuther Fürth,Away,Mainz,0,3,0.42,370,0.76,8,1,7,0.52,121,4,2,14,0
2021-2022,3,VfB Stuttgart,Home,Freiburg,2,3,2.24,538,0.86,17,7,10,0.61,103,8,1,10,0
2021-2022,3,Freiburg,Away,VfB Stuttgart,3,2,1.37,288,0.7,14,7,7,0.39,89,5,0,14,1
2021-2022,3,Bayern Munich,Home,Hertha Berlin,5,0,3.9,623,0.87,17,6,11,0.61,97,8,0,4,1
2021-2022,3,Hertha Berlin,Away,Bayern Munich,0,5,0.46,358,0.79,8,3,5,0.39,96,3,3,5,0
2021-2022,3,Union Berlin,Home,Borussia Mönchengladbach,2,1,2.06,245,0.67,12,4,8,0.33,104,4,0,15,1
2021-2022,3,Borussia Mönchengladbach,Away,Union Berlin,1,2,2.17,707,0.87,18,5,13,0.67,117,8,3,6,0
2021-2022,3,Wolfsburg,Home,RB Leipzig,1,0,1.44,356,0.77,8,2,6,0.49,106,7,3,13,1
2021-2022,3,RB Leipzig,Away,Wolfsburg,0,1,1.63,412,0.78,12,2,10,0.51,120,7,0,18,0
2021-2022,4,Greuther Fürth,Home,Wolfsburg,0,2,0.4,199,0.68,7,3,4,0.33,93,3,0,17,0
2021-2022,4,Wolfsburg,Away,Greuther Fürth,2,0,1.87,548,0.88,10,4,6,0.67,123,5,0,15,1
2021-2022,4,Hoffenheim,Home,Mainz,0,2,1.08,498,0.84,12,0,12,0.61,115,4,2,16,0
2021-2022,4,Mainz,Away,Hoffenheim,2,0,0.99,256,0.71,11,4,7,0.39,102,5,3,15,1
2021-2022,4,Freiburg,Home,Cologne,1,1,0.98,403,0.83,10,3,7,0.54,91,4,5,14,0
2021-2022,4,Cologne,Away,Freiburg,1,1,1.51,346,0.84,15,5,10,0.46,96,2,1,12,0
2021-2022,4,Union Berlin,Home,Augsburg,0,0,1.74,484,0.86,15,6,9,0.55,97,6,1,10,0
2021-2022,4,Augsburg,Away,Union Berlin,0,0,1.62,321,0.79,13,6,7,0.45,95,4,1,12,0
2021-2022,4,Bayer Leverkusen,Home,Borussia Dortmund,3,4,1.22,361,0.81,11,5,6,0.45,83,4,1,10,0
2021-2022,4,Borussia Dortmund,Away,Bayer Leverkusen,4,3,2.38,509,0.85,15,7,8,0.55,92,3,0,11,1
2021-2022,4,RB Leipzig,Home,Bayern Munich,1,4,0.51,452,0.81,10,4,6,0.52,107,2,4,9,0
2021-2022,4,Bayern Munich,Away,RB Leipzig,4,1,3.71,392,0.8,18,6,12,0.48,100,6,1,13,1
2021-2022,4,Eintracht Frankfurt,Home,VfB Stuttgart,1,1,1.17,464,0.82,18,5,13,0.55,102,6,2,13,0
2021-2022,4,VfB Stuttgart,Away,Eintracht Frankfurt,1,1,1.65,340,0.74,9,3,6,0.45,113,6,1,12,0
2021-2022,4,Bochum,Home,Hertha Berlin,1,3,1.26,477,0.82,19,6,13,0.65,116,7,1,9,0
2021-2022,4,Hertha Berlin,Away,Bochum,3,1,0.46,215,0.71,5,4,1,0.35,104,2,2,17,1
2021-2022,4,Borussia Mönchengladbach,Home,Arminia Bielefeld,3,1,1.63,609,0.89,17,4,13,0.62,103,3,3,10,1
2021-2022,4,Arminia Bielefeld,Away,Borussia Mönchengladbach,1,3,2.22,325,0.78,18,7,11,0.38,81,4,0,18,0
2021-2022,5,Hertha Berlin,Home,Greuther Fürth,2,1,1.14,394,0.84,15,3,12,0.56,107,9,1,12,1
2021-2022,5,Greuther Fürth,Away,Hertha Berlin,1,2,1.34,275,0.73,10,3,7,0.44,119,4,0,13,0
2021-2022,5,Arminia Bielefeld,Home,Hoffenheim,0,0,1.25,371,0.82,9,2,7,0.45,98,5,2,16,0
2021-2022,5,Hoffenheim,Away,Arminia Bielefeld,0,0,1.66,537,0.85,16,3,13,0.55,103,6,2,3,0
2021-2022,5,Augsburg,Home,Borussia Mönchengladbach,1,0,0.5,201,0.69,8,1,7,0.37,110,2,4,13,1
2021-2022,5,Borussia Mönchengladbach,Away,Augsburg,0,1,0.81,576,0.88,11,1,10,0.63,96,6,2,9,0
2021-2022,5,Mainz,Home,Freiburg,0,0,1.18,293,0.7,10,3,7,0.45,97,4,3,18,0
2021-2022,5,Freiburg,Away,Mainz,0,0,0.61,353,0.75,7,1,6,0.55,115,4,1,16,0
2021-2022,5,Bayern Munich,Home,Bochum,7,0,5.37,663,0.87,22,15,7,0.61,124,2,1,5,1
2021-2022,5,Bochum,Away,Bayern Munich,0,7,1.09,294,0.74,5,1,4,0.39,79,2,5,9,0
2021-2022,5,Cologne,Home,RB Leipzig,1,1,1.65,330,0.8,14,6,8,0.51,103,4,3,12,0
2021-2022,5,RB Leipzig,Away,Cologne,1,1,2.22,388,0.79,18,9,9,0.49,100,10,3,6,0
2021-2022,5,VfB Stuttgart,Home,Bayer Leverkusen,1,3,1.83,567,0.87,18,8,10,0.59,130,2,1,11,0
2021-2022,5,Bayer Leverkusen,Away,VfB Stuttgart,3,1,1.49,310,0.71,7,4,3,0.41,99,6,0,11,1
2021-2022,5,Borussia Dortmund,Home,Union Berlin,4,2,0.96,619,0.87,13,4,9,0.62,90,3,1,10,1
2021-2022,5,Union Berlin,Away,Borussia Dortmund,2,4,1.63,365,0.75,9,6,3,0.38,89,6,3,12,0
2021-2022,5,Wolfsburg,Home,Eintracht Frankfurt,1,1,2.02,490,0.79,15,6,9,0.57,121,7,4,14,0
2021-2022,5,Eintracht Frankfurt,Away,Wolfsburg,1,1,0.62,316,0.7,6,2,4,0.43,109,4,0,18,0
2021-2022,6,Greuther Fürth,Home,Bayern Munich,1,3,0.92,279,0.78,11,6,5,0.38,77,6,6,18,0
2021-2022,6,Bayern Munich,Away,Greuther Fürth,3,1,1.44,615,0.87,12,4,8,0.62,89,3,1,13,1
2021-2022,6,Hoffenheim,Home,Wolfsburg,3,1,1.91,398,0.82,12,3,9,0.48,92,5,0,13,1
2021-2022,6,Wolfsburg,Away,Hoffenheim,1,3,0.71,422,0.84,13,2,11,0.52,94,2,2,9,0
2021-2022,6,Union Berlin,Home,Arminia Bielefeld,1,0,1.37,458,0.79,17,4,13,0.53,100,5,4,9,1
2021-2022,6,Arminia Bielefeld,Away,Union Berlin,0,1,0.57,399,0.73,9,2,7,0.47,92,4,1,5,0
2021-2022,6,Bayer Leverkusen,Home,Mainz,1,0,1.66,559,0.88,15,9,6,0.63,107,6,2,11,1
2021-2022,6,Mainz,Away,Bayer Leverkusen,0,1,0.84,258,0.72,14,5,9,0.37,109,3,3,12,0
2021-2022,6,Eintracht Frankfurt,Home,Cologne,1,1,0.8,316,0.65,10,3,7,0.45,124,7,3,11,0
2021-2022,6,Cologne,Away,Eintracht Frankfurt,1,1,1.64,373,0.76,15,2,13,0.55,149,6,1,19,0
2021-2022,6,RB Leipzig,Home,Hertha Berlin,6,0,4.71,513,0.88,18,11,7,0.59,117,2,3,8,1
2021-2022,6,Hertha Berlin,Away,RB Leipzig,0,6,0.24,301,0.8,5,3,2,0.41,88,1,4,19,0
2021-2022,6,Borussia Mönchengladbach,Home,Borussia Dortmund,1,0,1.19,528,0.88,14,3,11,0.55,82,5,4,17,1
2021-2022,6,Borussia Dortmund,Away,Borussia Mönchengladbach,0,1,0.44,437,0.86,8,0,8,0.45,77,1,3,15,0
2021-2022,6,Bochum,Home,VfB Stuttgart,0,0,0.91,353,0.73,14,4,10,0.47,88,7,2,15,0
2021-2022,6,VfB Stuttgart,Away,Bochum,0,0,0.31,464,0.84,8,3,5,0.53,109,2,0,13,0
2021-2022,6,Freiburg,Home,Augsburg,3,0,3.55,485,0.86,19,9,10,0.57,79,6,2,10,1
2021-2022,6,Augsburg,Away,Freiburg,0,3,0.3,287,0.77,8,2,6,0.43,72,3,0,13,0
2021-2022,7,Cologne,Home,Greuther Fürth,3,1,3.55,462,0.82,18,8,10,0.63,114,8,1,16,1
2021-2022,7,Greuther Fürth,Away,Cologne,1,3,1.21,216,0.66,7,3,4,0.37,112,1,2,18,0
2021-2022,7,Hertha Berlin,Home,Freiburg,1,2,1.22,354,0.81,12,3,9,0.45,76,4,0,17,0
2021-2022,7,Freiburg,Away,Hertha Berlin,2,1,0.93,465,0.83,9,4,5,0.55,74,9,5,15,1
2021-2022,7,VfB Stuttgart,Home,Hoffenheim,3,1,0.62,374,0.8,12,6,6,0.42,93,9,1,14,1
2021-2022,7,Hoffenheim,Away,VfB Stuttgart,1,3,1.63,526,0.84,13,4,9,0.58,88,4,1,12,0
2021-2022,7,Wolfsburg,Home,Borussia Mönchengladbach,1,3,0.92,403,0.83,10,5,5,0.52,116,4,2,17,0
2021-2022,7,Borussia Mönchengladbach,Away,Wolfsburg,3,1,3.19,377,0.77,18,10,8,0.48,122,6,3,10,1
2021-2022,7,Borussia Dortmund,Home,Augsburg,2,1,2.7,641,0.85,17,3,14,0.66,111,7,1,9,1
2021-2022,7,Augsburg,Away,Borussia Dortmund,1,2,0.87,252,0.63,6,4,2,0.34,104,3,4,16,0
2021-2022,7,RB Leipzig,Home,Bochum,3,0,2.74,491,0.82,15,8,7,0.55,106,2,0,10,1
2021-2022,7,Bochum,Away,RB Leipzig,0,3,1.31,332,0.69,9,2,7,0.45,99,3,6,16,0
2021-2022,7,Mainz,Home,Union Berlin,1,2,1.41,401,0.81,11,4,7,0.51,102,2,0,15,0
2021-2022,7,Union Berlin,Away,Mainz,2,1,2.01,367,0.76,15,2,13,0.49,91,5,0,6,1
2021-2022,7,Bayern Munich,Home,Eintracht Frankfurt,1,2,2.85,780,0.88,21,11,10,0.67,118,10,4,6,0
2021-2022,7,Eintracht Frankfurt,Away,Bayern Munich,2,1,0.65,275,0.64,5,3,2,0.33,86,1,0,8,1
2021-2022,7,Arminia Bielefeld,Home,Bayer Leverkusen,0,4,0.56,289,0.79,10,3,7,0.4,105,2,2,13,0
2021-2022,7,Bayer Leverkusen,Away,Arminia Bielefeld,4,0,3.52,602,0.89,19,7,12,0.6,117,4,0,7,1
2021-2022,8,Hoffenheim,Home,Cologne,5,0,3.64,434,0.81,13,8,5,0.33,82,3,2,13,1
2021-2022,8,Cologne,Away,Hoffenheim,0,5,0.81,397,0.81,10,0,10,0.5,90,3,4,7,0
2021-2022,8,Greuther Fürth,Home,Bochum,0,1,0.74,420,0.77,12,3,9,0.56,98,4,0,16,0
2021-2022,8,Bochum,Away,Greuther Fürth,1,0,1.81,296,0.67,9,2,7,0.44,119,3,2,16,1
2021-2022,8,Freiburg,Home,RB Leipzig,1,1,1.76,384,0.77,15,2,13,0.53,88,8,1,10,0
2021-2022,8,RB Leipzig,Away,Freiburg,1,1,2.2,365,0.8,13,4,9,0.47,73,5,1,17,0
2021-2022,8,Union Berlin,Home,Wolfsburg,2,0,1.4,341,0.76,6,3,3,0.43,82,3,1,7,1
2021-2022,8,Wolfsburg,Away,Union Berlin,0,2,1.97,544,0.86,13,4,9,0.57,67,3,0,16,0
2021-2022,8,Eintracht Frankfurt,Home,Hertha Berlin,1,2,1.78,457,0.8,13,5,8,0.56,99,7,0,17,0
2021-2022,8,Hertha Berlin,Away,Eintracht Frankfurt,2,1,2.23,323,0.73,12,6,6,0.44,110,4,5,16,1
2021-2022,8,Borussia Dortmund,Home,Mainz,3,1,2.46,674,0.85,11,5,6,0.65,106,6,2,7,1
2021-2022,8,Mainz,Away,Borussia Dortmund,1,3,0.89,311,0.74,6,2,4,0.35,107,2,2,12,0
2021-2022,8,Borussia Mönchengladbach,Home,VfB Stuttgart,1,1,2.11,604,0.86,31,8,23,0.23,110,9,0,14,0
2021-2022,8,VfB Stuttgart,Away,Borussia Mönchengladbach,1,1,0.38,407,0.83,5,2,3,0.58,115,1,1,21,0
2021-2022,8,Bayer Leverkusen,Home,Bayern Munich,1,5,1.0,447,0.85,7,4,3,0.45,81,4,1,9,0
2021-2022,8,Bayern Munich,Away,Bayer Leverkusen,5,1,3.45,680,0.89,27,11,16,0.55,93,7,1,9,1
2021-2022,8,Augsburg,Home,Arminia Bielefeld,1,1,1.04,341,0.74,14,6,8,0.5,102,9,8,8,0
2021-2022,8,Arminia Bielefeld,Away,Augsburg,1,1,0.54,338,0.77,10,3,7,0.5,102,5,1,15,0
2021-2022,9,Mainz,Home,Augsburg,4,1,4.09,456,0.85,20,9,11,0.51,140,6,1,9,1
2021-2022,9,Augsburg,Away,Mainz,1,4,0.95,392,0.77,6,2,4,0.49,117,2,1,11,0
2021-2022,9,Arminia Bielefeld,Home,Borussia Dortmund,1,3,1.45,332,0.77,13,6,7,0.35,106,7,2,13,0
2021-2022,9,Borussia Dortmund,Away,Arminia Bielefeld,3,1,2.57,811,0.9,14,7,7,0.65,119,2,2,9,1
2021-2022,9,Wolfsburg,Home,Freiburg,0,2,1.74,413,0.8,17,4,13,0.54,106,7,0,17,0
2021-2022,9,Freiburg,Away,Wolfsburg,2,0,1.55,337,0.75,11,4,7,0.46,99,1,1,15,1
2021-2022,9,RB Leipzig,Home,Greuther Fürth,4,1,2.71,471,0.82,13,5,8,0.52,139,3,3,15,1
2021-2022,9,Greuther Fürth,Away,RB Leipzig,1,4,1.7,364,0.75,8,4,4,0.48,134,4,2,12,0
2021-2022,9,Bayern Munich,Home,Hoffenheim,4,0,2.32,651,0.85,15,7,8,0.57,125,4,3,4,1
2021-2022,9,Hoffenheim,Away,Bayern Munich,0,4,0.75,407,0.79,9,2,7,0.43,91,2,3,18,0
2021-2022,9,Hertha Berlin,Home,Borussia Mönchengladbach,1,0,0.56,374,0.74,10,4,6,0.42,113,2,3,11,1
2021-2022,9,Borussia Mönchengladbach,Away,Hertha Berlin,0,1,0.74,509,0.84,10,1,9,0.58,107,6,3,21,0
2021-2022,9,Cologne,Home,Bayer Leverkusen,2,2,1.12,438,0.76,17,5,12,0.59,112,6,2,10,0
2021-2022,9,Bayer Leverkusen,Away,Cologne,2,2,1.02,277,0.66,8,5,3,0.41,129,6,4,15,0
2021-2022,9,VfB Stuttgart,Home,Union Berlin,1,1,0.59,582,0.87,8,2,6,0.55,96,1,2,16,0
2021-2022,9,Union Berlin,Away,VfB Stuttgart,1,1,0.88,441,0.83,11,3,8,0.45,83,2,0,13,0
2021-2022,9,Bochum,Home,Eintracht Frankfurt,2,0,2.58,275,0.73,19,7,12,0.45,103,4,2,9,1
2021-2022,9,Eintracht Frankfurt,Away,Bochum,0,2,1.51,462,0.79,14,6,8,0.55,84,7,0,11,0
2021-2022,10,Hoffenheim,Home,Hertha Berlin,2,0,1.28,520,0.85,14,3,11,0.55,105,9,3,15,1
2021-2022,10,Hertha Berlin,Away,Hoffenheim,0,2,0.77,439,0.82,5,2,3,0.45,98,4,3,9,0
2021-2022,10,Arminia Bielefeld,Home,Mainz,1,2,0.8,396,0.79,15,7,8,0.5,142,6,0,16,0
2021-2022,10,Mainz,Away,Arminia Bielefeld,2,1,3.06,400,0.82,16,6,10,0.5,116,6,4,9,1
2021-2022,10,Freiburg,Home,Greuther Fürth,3,1,1.23,405,0.8,12,5,7,0.51,108,5,1,10,1
2021-2022,10,Greuther Fürth,Away,Freiburg,1,3,0.77,395,0.82,8,4,4,0.49,100,2,1,13,0
2021-2022,10,Union Berlin,Home,Bayern Munich,2,5,1.25,372,0.79,9,6,3,0.41,78,6,2,9,0
2021-2022,10,Bayern Munich,Away,Union Berlin,5,2,3.18,591,0.87,14,6,8,0.59,82,1,3,7,1
2021-2022,10,Bayer Leverkusen,Home,Wolfsburg,0,2,1.59,502,0.86,13,1,12,0.63,105,10,2,11,0
2021-2022,10,Wolfsburg,Away,Bayer Leverkusen,2,0,1.76,263,0.73,13,8,5,0.37,116,2,2,15,1
2021-2022,10,Borussia Dortmund,Home,Cologne,2,0,1.66,403,0.77,8,4,4,0.45,115,4,2,10,1
2021-2022,10,Cologne,Away,Borussia Dortmund,0,2,1.08,538,0.85,20,6,14,0.55,109,3,0,11,0
2021-2022,10,Eintracht Frankfurt,Home,RB Leipzig,1,1,0.6,436,0.78,12,3,9,0.48,98,5,3,11,0
2021-2022,10,RB Leipzig,Away,Eintracht Frankfurt,1,1,2.5,504,0.8,15,7,8,0.52,136,5,3,9,0
2021-2022,10,Augsburg,Home,VfB Stuttgart,4,1,1.47,261,0.71,20,12,8,0.39,87,7,2,15,1
2021-2022,10,VfB Stuttgart,Away,Augsburg,1,4,0.84,584,0.87,12,3,9,0.61,107,5,0,12,0
2021-2022,10,Borussia Mönchengladbach,Home,Bochum,2,1,1.92,613,0.87,14,5,9,0.59,97,9,2,7,1
2021-2022,10,Bochum,Away,Borussia Mönchengladbach,1,2,0.83,316,0.75,11,4,7,0.41,71,1,3,15,0
2021-2022,11,Mainz,Home,Borussia Mönchengladbach,1,1,1.05,419,0.8,19,8,11,0.48,113,9,2,15,0
2021-2022,11,Borussia Mönchengladbach,Away,Mainz,1,1,1.88,474,0.83,11,5,6,0.52,123,1,1,8,0
2021-2022,11,Bochum,Home,Hoffenheim,2,0,2.87,311,0.72,14,4,10,0.42,97,2,3,7,1
2021-2022,11,Hoffenheim,Away,Bochum,0,2,0.7,527,0.81,9,1,8,0.58,84,4,1,20,0
